,trade_date,open,high,close,low,vol,change
1847,20121126,2187.24,2191.359,2175.599,2172.1,24742696.0,-17.077
1846,20121127,2168.589,2173.464,2150.638,2150.222,31946746.0,-24.961
1845,20121128,2142.5,2144.802,2129.161,2126.03,30009339.0,-21.477
1844,20121129,2128.803,2140.877,2115.676,2114.477,29670625.0,-13.485
1843,20121130,2114.244,2142.856,2139.661,2109.963,36406911.0,23.985
1842,20121203,2136.696,2152.608,2108.85,2108.149,40186762.0,-30.811
1841,20121204,2104.928,2135.662,2131.473,2102.135,36225915.0,22.623
1840,20121205,2128.387,2219.094,2207.878,2126.793,82487103.0,76.405
1839,20121206,2205.605,2216.976,2203.602,2191.227,48574689.0,-4.276
1838,20121207,2203.887,2250.529,2246.757,2198.107,76169748.0,43.155
1837,20121210,2254.915,2276.28,2271.046,2250.437,73375475.0,24.289
1836,20121211,2263.209,2274.994,2258.5,2254.299,51468703.0,-12.546
1835,20121212,2257.73,2273.211,2267.767,2247.953,45006454.0,9.267
1834,20121213,2260.601,2266.721,2242.635,2242.557,41942100.0,-25.132
1833,20121214,2245.636,2357.106,2355.865,2245.636,110892562.0,113.23
1832,20121217,2359.201,2380.001,2366.7,2358.664,94088195.0,10.835
1831,20121218,2361.095,2398.63,2368.12,2347.077,85784849.0,1.42
1830,20121219,2362.802,2387.142,2371.109,2358.033,63292530.0,2.989
1829,20121220,2361.322,2391.924,2384.816,2346.55,65655462.0,13.707
1828,20121221,2386.376,2414.223,2372.002,2365.032,68714158.0,-12.814
1827,20121224,2368.007,2396.725,2381.217,2367.038,53087004.0,9.215
1826,20121225,2373.88,2459.302,2448.395,2365.41,95502350.0,67.178
1825,20121226,2445.987,2458.007,2457.619,2441.642,71591828.0,9.224
1824,20121227,2464.779,2479.792,2444.594,2443.681,73255067.0,-13.025
1823,20121228,2448.076,2481.592,2480.049,2444.381,67166321.0,35.455
1822,20121231,2485.559,2522.952,2522.952,2485.559,82002293.0,42.903
1821,20130104,2551.814,2558.529,2524.409,2498.892,97988182.0,1.457
1820,20130107,2518.047,2545.969,2535.985,2511.603,75167993.0,11.576
1819,20130108,2534.647,2540.513,2525.33,2502.49,71837100.0,-10.655
1818,20130109,2518.104,2534.239,2526.126,2504.299,70231170.0,0.796
1817,20130110,2525.59,2553.352,2530.569,2513.729,71085862.0,4.443
1816,20130111,2533.495,2539.794,2483.23,2473.696,74239176.0,-47.339
1815,20130114,2474.176,2583.625,2577.725,2473.998,93554091.0,94.495
1814,20130115,2579.132,2605.41,2595.856,2576.919,98620805.0,18.131
1813,20130116,2591.365,2600.093,2577.092,2540.521,93536084.0,-18.764
1812,20130117,2570.711,2575.058,2552.758,2539.674,69915239.0,-24.334
1811,20130118,2568.692,2607.446,2595.439,2553.451,77940303.0,42.681
1810,20130121,2605.649,2611.201,2610.898,2582.652,84133742.0,15.459
1809,20130122,2610.392,2620.025,2596.898,2578.181,105766275.0,-14.0
1808,20130123,2588.198,2611.409,2607.456,2576.362,75739444.0,10.558
1807,20130124,2606.427,2663.404,2582.755,2564.206,111277172.0,-24.701
1806,20130125,2580.881,2591.513,2571.674,2567.107,58487359.0,-11.081
1805,20130128,2577.267,2651.967,2651.863,2577.267,91274790.0,80.189
1804,20130129,2655.377,2685.531,2675.866,2646.154,101040229.0,24.003
1803,20130130,2678.433,2689.683,2688.711,2662.062,99874990.0,12.845
1802,20130131,2690.951,2696.881,2686.882,2671.33,96740101.0,-1.829
1801,20130201,2677.187,2744.322,2743.324,2671.274,103879515.0,56.442
1800,20130204,2753.688,2768.504,2748.028,2731.08,127939179.0,4.704
1799,20130205,2727.93,2779.953,2771.675,2725.362,116130819.0,23.647
1798,20130206,2771.908,2787.456,2775.844,2765.743,82779271.0,4.169
1797,20130207,2771.53,2775.974,2759.87,2722.874,89978142.0,-15.974
1796,20130208,2755.649,2791.303,2771.725,2747.946,77429644.0,11.855
1795,20130218,2784.065,2787.74,2737.471,2731.506,76438227.0,-34.254
1794,20130219,2735.045,2740.739,2685.606,2674.339,80626431.0,-51.865
1793,20130220,2686.093,2703.098,2702.635,2665.231,70019377.0,17.029
1792,20130221,2675.741,2675.741,2610.549,2584.758,100657984.0,-92.086
1791,20130222,2607.65,2618.483,2596.604,2591.146,60204852.0,-13.945
1790,20130225,2607.149,2628.696,2604.96,2590.787,53161942.0,8.356
1789,20130226,2587.375,2631.094,2567.595,2564.672,80003065.0,-37.365
1788,20130227,2576.046,2615.249,2594.677,2569.38,63226743.0,27.082
1787,20130228,2611.94,2673.711,2673.327,2593.997,86922595.0,78.65
1786,20130301,2671.842,2680.854,2668.836,2626.995,73343753.0,-4.491
